Material Name,fiber_type,fiber_source,is_natural,is_renewable,is_recyclable,is_biodegradable,is_microplastic_pollutant,pro_tips,pro_read_more,con_tips,con_read_more,washing_tips,washing_read_more,fact_tips,fact_read_more,Sources
Lenzing™ECOVERO™Viscose,Semi-Synthetic Plant Based,Cellulose (Wood Pulp),Semi-Synthetic,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Lenzing™ ECOVERO™ Viscose is soft, absorbent, and antimicrobial. It's a semi-synthetic fiber that begins as cellulose derived from sustainably sourced wood pulp.",,"The production process of Lenzing™ ECOVERO™ Viscose involves chemicals such as sodium hydroxide and carbon disulfide, which can pollute the environment if not managed sustainably. ",,"Lenzing™ ECOVERO™ Viscose is best washed by hand in cold or warm water. Never put Lenzing™ ECOVERO™ in the dryer. Instead, hang dry to avoid excess shrinkage and pilling. ","Lenzing™ ECOVERO™ Viscose is a delicate fabric, so hand washing is cold or warm water best. Never put Lenzing™ ECOVERO™ in the dryer. Instead, hang dry to avoid excess shrinkage and pilling. ","Lenzing™ ECOVERO™ Viscose is sourced from sustainably managed forests, and generates up to 50% lower emissions and water impact than conventional viscose.  All of its raw material components are fully traceable. ","Lenzing™ ECOVERO™ Viscose is sourced from sustainably managed forests, and generates up to 50% lower emissions and water impact than conventional viscose.  All of its raw material components are fully traceable. 

Deforestation, the removal of trees, causes habitat loss for our precious wildlife and is one of the largest causes of carbon emissions. It's crucial to ensure our forests are responsibly managed, and that our viscose products are sourced from responsible supply chains. 

Most forestland in the US is privately owned, so landowners often clear forests to enter more profitable industries such as farming, housing, or ranching. Viscose from responsibly sourced forests is typically more expensive, which allows landowners to be compensated fairly and disincentivizes excessive deforestation. ",
Livaeco™ Modal Fibre {BIRLA},Semi-Synthetic Plant Based,Cellulose (Wood Pulp),Semi-Synthetic,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Livaeco™ Modal is soft, breathable, and durable. It's a semi-synthetic fiber that begins as cellulose derived from sustainably sourced beech and eucalyptus wood pulp.",,"The production process of Livaeco™ Modal involves chemicals such as sodium hydroxide and carbon disulfide, which can pollute the environment if not managed sustainably. ",,"Livaeco™ Modal is can be washed in a gentle cycle with cold or warm water. Livaeco™ Modal will shrink in high heat, so tumble dry on low or hang dry to preserve fabric strength and garment shape. ","Livaeco™ Modal is durable and can be washed in a gentle cycle with cold or warm water. Livaeco™ Modal will shrink in high heat, so tumble dry on low or hang dry to preserve fabric strength and garment shape. ","Livaeco™ Modal is sourced from sustainably managed beech and eucalyptus wood forests. All of its raw material components are fully traceable. 

","Livaeco™ Modal is sourced from sustainably managed beech and eucalyptus wood forests. All of its raw material components are fully traceable. 

Deforestation, the removal of trees, causes habitat loss for our precious wildlife and is one of the largest causes of carbon emissions. It's crucial to ensure our forests are responsibly managed, and that our modal products are sourced from responsible supply chains. 

Most forestland in the US is privately owned, so landowners often clear forests to enter more profitable industries such as farming, housing, or ranching. Modal from responsibly sourced forests is typically more expensive, which allows landowners to be compensated fairly and disincentivizes excessive deforestation. ",
Livaeco™ Viscose Staple Fiber {BIRLA},Semi-Synthetic Plant Based,Cellulose (Wood Pulp),Semi-Synthetic,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Livaeco™ Viscose is soft, absorbent, and antimicrobial. It's a semi-synthetic fiber that begins as cellulose derived from sustainably sourced beech and eucalyptus wood pulp.",,"The production process of Livaeco™ Viscose involves chemicals such as sodium hydroxide and carbon disulfide, which can pollute the environment if not managed sustainably. ",,"Livaeco™ Viscose is best washed by hand in cold or warm water. Never put Livaeco™ Viscose in the dryer. Instead, hang dry to avoid excess shrinkage and pilling. ","Livaeco™ Viscose is a delicate fabric, so hand washing is cold or warm water best. Never put Livaeco™ Viscose in the dryer. Instead, hang dry to avoid excess shrinkage and pilling. ","Livaeco™ Viscose is sourced from sustainably managed beech and eucalyptus wood forests. All of its raw material components are fully traceable. 

","Livaeco™ Viscose is sourced from sustainably managed beech and eucalyptus wood forests. All of its raw material components are fully traceable. 

Deforestation, the removal of trees, causes habitat loss for our precious wildlife and is one of the largest causes of carbon emissions. It's crucial to ensure our forests are responsibly managed, and that our viscose products are sourced from responsible supply chains. 

Most forestland in the US is privately owned, so landowners often clear forests to enter more profitable industries such as farming, housing, or ranching. Viscose from responsibly sourced forests is typically more expensive, which allows landowners to be compensated fairly and disincentivizes excessive deforestation. ",
LYCRA T400 EcoMade Fiber {The LYCRA Company},Synthetic Plastic Derivative,Polymer Plastic & Plant Based,Synthetic,Semi-Renewable,Recyclable,Not Biodegradable,Microplastic Pollutant,"LYCRA® T400 EcoMade fiber has excellent durability and breathability, and offers superior stretch recovery to conventional polyester. 
",,"LYCRA® T400 EcoMade fiber is a non-biodegradable synthetic polymer that's derived from a mix of bio-based and fossil-fuel based plastics. One LYCRA® T400 EcoMade fiber garment can shed thousands of microplastic filaments during a single wash cycle, contaminating water systems.",,LYCRA® T400 EcoMade fiber is best washed in a normal cycle with cold or warm water. Use a microplastic filter bag to catch stray fibers in the wash cycle. Tumble dry on low or hang dry to conserve energy and preserve fabric strength.,LYCRA® T400 EcoMade fiber is easy to clean and quick-drying. It's best washed in a normal cycle with cold or warm water. Use a microplastic filter bag to catch stray fibers in the wash cycle. Tumble dry on low or hang dry to conserve energy and preserve fabric strength.,"LYCRA® T400 EcoMade fiber is a synthetic fiber made from a blend of virgin plant-based materials, virgin PPT, and recycled PET. 

When washed and worn, LYCRA® T400 sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 

","LYCRA® T400 EcoMade fiber is a synthetic fiber made from a blend of virgin plant-based materials, virgin PPT, and recycled PET. When washed and worn, LYCRA® T400 sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 

",
Lyocell fabric,Semi-Synthetic Plant Based,Cellulose (Wood Pulp),Semi-Synthetic,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Lyocell is soft, breathable, and absorbent. It's a semi-synthetic fiber that begins as cellulose derived from renewable eucalyptus wood pulp.",,The creation of eucalyptus pulpwood plantations for new material often requires destructive deforestation.,,"Lyocell is best washed by hand in cold water, though some garments can be washed in a gentle cycle. Lay flat or hang dry to avoid excess shrinkage and pilling. ","Lyocell is stronger than its semi-synthetic cellulosic friends but is still subject to mildew. Handwashing is best, though some garments can be washed in a gentle cycle with cold water. Lay flat or hang dry to avoid excess shrinkage and pilling. ","Lyocell manufacturing is significantly less resource-intensive than traditional viscose or rayon production. Unlike viscose and rayon, lyocell is manufactured in a 99% closed-loop process using the biodegradable, non-toxic chemical NMMO (N-Methylmorpholine N-oxide). 

","Lyocell manufacturing is significantly less resource-intensive than traditional viscose or rayon production. Unlike viscose and rayon, lyocell is manufactured in a 99% closed-loop process using the biodegradable, non-toxic chemical NMMO (N-Methylmorpholine N-oxide). 

Lyocell relies on wood-pulp from eucalyptus trees, a fast-growing tree that grows in poor soil and does not require irrigation or pesticides. However, eucalyptus farms are usually monocultures that result in deforestation, habitat loss and a decrease to biodiversity. It's crucial to ensure our forests are responsibly managed, and that our lyocell products are sourced from responsible supply chains. ","https://www.sustainablejungle.com/sustainable-fashion/what-is-lyocell/

https://www.sciencedirect.com/topics/engineering/lyocell

https://www.thelaundress.com/how-to/tencel.html 
"
Modal fabric,Semi-Synthetic Plant Based,Cellulose (Wood Pulp),Semi-Synthetic,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Modal is soft, breathable, and absorbent. It's a semi-synthetic fiber that begins as cellulose derived from renewable beech wood pulp.",,"The production process of Modal involves chemicals such as sodium hydroxide and carbon disulfide, which can pollute the environment if not managed sustainably. ","The production process of Modal involves chemicals such as sodium hydroxide and carbon disulfide, which can pollute the environment if not managed sustainably. The creation of pulpwood plantations often requires deforestation, a practice that has devastating social and environmental impacts.","Modal is best washed in a gentle cycle with cold or warm water. Modal will shrink in high heat, so tumble dry on low or hang dry to preserve fabric strength and garment shape. ","Modal is fairly durable and can be washed in a gentle cycle with cold or warm water. Modal will shrink in high heat, so tumble dry on low or hang dry to preserve fabric strength and garment shape. ","Deforestation, the removal of trees, causes habitat loss for our precious wildlife and is one of the largest causes of carbon emissions. It's crucial to ensure our forests are responsibly managed, and that our modal products are sourced from responsible supply chains. 
","Deforestation, the removal of trees, causes habitat loss for our precious wildlife and is one of the largest causes of carbon emissions. It's crucial to ensure our forests are responsibly managed, and that our modal products are sourced from responsible supply chains. 

Most forestland in the US is privately owned, so landowners often clear forests to enter more profitable industries such as farming, housing, or ranching. Modal rom responsibly sourced forests is typically more expensive, which allows landowners to be compensated fairly and disincentivizes excessive deforestation. ","https://www.sustainablejungle.com/sustainable-fashion/what-is-modal-fabric/ 

https://www.masterclass.com/articles/fabric-guide-what-is-modal-fabric#how-is-modal-fabric-manufactured 

https://www.thelaundress.com/how-to/modal.html 



"
"Cellulosic Fiber, Naia {Eastman}",Semi-Synthetic Plant Based,Cellulose (Wood Pulp),Semi-Synthetic,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Naia is silky-soft, breathable, and resilient. It's a semi-synthetic fiber that begins as cellulose derived from sustainably sourced pine and eucalyptus wood pulp. ",,"The creation of pulpwood plantations for new material often requires destructive deforestation, even if plantations are sustainably managed.",,Naia is best washed in a gentle cycled with cold or warm water. Tumble dry on low or hang dry to preserve fabric strength and garment shape. ,"Naia is resistant to pilling, shrinkage, and stains, so it can be washed in a gentle cycled with cold or warm water. Tumble dry on low or hang dry to preserve fabric strength and garment shape. ",Naia begins as cellulose derived from sustainably managed pine and eucalyptus forests and plantations. It's produced in a near closed-loop process where most solvents are recycled back into the system for reuse. It's produced without the use of hazardous chemicals and is one of the lowest-impact semi-synthetic fibers available for apparel use. ,Naia begins as cellulose derived from sustainably managed pine and eucalyptus forests and plantations. It's produced in a near closed-loop process where most solvents are recycled back into the system for reuse. It's produced without the use of hazardous chemicals and is one of the lowest-impact semi-synthetic fibers available for apparel use. ,
Nylon fabric,Synthetic Plastic Derivative,Polymer Plastic,Synthetic,Non-Renewable,Recyclable,Not Biodegradable,Microplastic Pollutant,Nylon has excellent durability and elasticity. It's more lightweight and durable than polyester and acrylic.,,"Nylon is a non-biodegradable synthetic polymer plastic that's primarily derived from crude oil. One nylon garment can shed thousands of microplastic filaments during a single wash cycle, contaminating water systems.",,Nylon is best washed in a gentle cycle with cold water to preserve fabric strength. Use a microplastic filter bag to catch stray fibers in the wash cycle. Hang dry to conserve energy and preserve fabric strength.,Nylon doesn't absorb sweat and thus needs to be washed more frequently than polyester or acrylic. It's best washed in a gentle cycle with cold water to preserve fabric strength. Use a microplastic filter bag to catch stray fibers in the wash cycle. Hang dry to conserve energy and preserve fabric strength.,"When washed and worn, nylon sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 

","Nylon is a synthetic petroleum-based material derived from plastic. When washed and worn, nylon sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 

Some nylon garments are made from recycled plastic, but this isn't a solution to our plastic crisis. Since nylon is non-biodegradable, recycling plastic into nylon fabric simply changes what pollution looks like. Plastic bottles become microplastic filaments, which still make their way into our water streams. ",
"Nylon fabric, recycled",Synthetic Plastic Derivative,Polymer Plastic (Post-Consumer or Post-Industrial Waste),Synthetic,Non-Renewable,Recyclable,Not Biodegradable,Microplastic Pollutant,"Recycled has excellent durabaility and elasticity, and uses less nonrenewable resources than virgin nylon. Recycled nylon keeps textile waste out of landfills and supports the circular economy.","Recycled nylon has excellent durability, stretch, and elasticity. It's more lightweight and durable than polyester and acrylic. Recycled nylon uses less nonrenewable resources than virgin nylon. Recycled nylon keeps textile waste out of landfills and supports the circular economy.","Recycled nylon is still a non-biodegradable synthetic polymer plastic. One recycled nylon garment can shed thousands of microplastic filaments during a single wash cycle, contaminating water systems.",,Recycled nylon is best washed in a gentle cycle with cold water to preserve fabric strength. Use a microplastic filter bag to catch stray fibers in the wash cycle. Hang dry to conserve energy and preserve fabric strength.,Recycled nylon doesn't absorb sweat and thus needs to be washed more frequently than polyester or acrylic. It's best washed in a gentle cycle with cold water to preserve fabric strength. Use a microplastic filter bag to catch stray fibers in the wash cycle. Hang dry to conserve energy and preserve fabric strength.,"Recycled nylon garments are made from recycled plastic, but this isn't a solution to our plastic crisis. Since nylon is non-biodegradable, recycling plastic into nylon fabric simply changes what pollution looks like. Plastic bottles become microplastic filaments, which still make their way into our water streams. ","Recycled nylon is a synthetic petroleum-based material derived from plastic. When washed and worn, nylon sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 

Recycled nylon garments are made from recycled plastic, but this isn't a solution to our plastic crisis. Since nylon is non-biodegradable, recycling plastic into nylon fabric simply changes what pollution looks like. Plastic bottles become microplastic filaments, which still make their way into our water streams. ",
Pig leather,Animal Based,Pig,Natural,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Pig Leather is a durable, resilient, water-resistant material made from pig hides. Pig Leather is biodegradable and derived from a renewable resource.",,"Livestock accounts for 15% of our total carbon emissions, which is a significant contributor to our warming climate. ","Although Pig Leather is a renewable resource, animal welfare is always a concern. Livestock accounts for 15% of our total carbon emissions, which is a significant contributor to our warming climate. ","Leather, suede, and other animal hides have various finishes that have individualized needs. Leather should be handled with the utmost care. Follow the washing label strictly. Do not wash your leather garment if the label says spot clean only.",,"Leather has been used as warm, protective clothing since prehistoric times. Pig Leather is a byproduct of the meat industry, and is therefore not vegan-friendly. It varies in thickness, size, and texture, and its value changes depending on the quality of hide and how it's treated. ","Leather has been used as warm, protective clothing since prehistoric times. Pig Leather is a byproduct of the meat industry, and is therefore not vegan-friendly. It varies in thickness, size, and texture, and its value changes depending on the quality of hide and how it's treated. 

Leather is treated through a tanning process that prevents rot and can be dyed in many colors. Leather is moisture dependant, so it needs cleaning, conditioning and protection to ensure lasting beauty and durability.  Mineral (chrome) leather tanning and synthetic dyes can be extremely toxic to aquatic ecosystems, so make sure your leather goods are vegetable-tanned or sustainably managed. ","https://www.thelaundress.com/how-to/leather.html 

https://www.oakroads.com/pages/faq-what-are-the-properties-of-different-animal-leathers-used-in-oak-roads-travel-gear 

https://bagntell.wordpress.com/2014/04/19/leather-buying-guide/ "
Plant based leather (Piñatex®),Semi-Synthetic Plant Based,"Pineapple, Polymer Plastic ",Semi-Synthetic,Semi-Renewable,Non-Recyclable,Not Biodegradable,Microplastic Pollutant,"Piñatex® is a durable, vegan, plant-based leather alternative. It's primarily derived from pineapple agriculture waste, which supports the circular economy. ",,"Although Piñatex® is primarily plant-based, it still requires the use of fossil-fuel and bio-based polymers to bond fibers; this means it's not fully biodegradable. ",,"Piñatex® should be handled with care, and spot cleaned with a damp cloth to remove dirt. Piñatex® should be polished regularly with natural beeswax, and can be protected with most leather waterproofing agents.",,"Piñatex® is a leading vegan-leather alternative that supports the circular economy by utilizing agricultural leftovers that would otherwise go to waste. This waste would typically be burned or left to rot, which exacerbates methane pollution, air pollution, and crop disease. 

Because Piñatex® contains polymer plastics, it will contribute to microplastics pollution when washed or discarded. ","Piñatex® is a leading vegan-leather alternative that supports the circular economy by utilizing agricultural leftovers that would otherwise go to waste. This waste would typically be burned or left to rot, which exacerbates methane pollution, air pollution, and crop disease. 

Because Piñatex® contains polymer plastics, it will contribute to microplastics pollution when washed or discarded. ","https://www.ananas-anam.com/responsibility/ 

https://cfda.com/resources/materials/detail/pinatex "
Polyester fabric,Synthetic Plastic Derivative,Polymer Plastic,Synthetic,Non-Renewable,Recyclable,Not Biodegradable,Microplastic Pollutant,"Polyester has excellent durability and elasticity. It's wrinkle-resistant, moisture-wicking, and more durable than acrylic.",,"Polyester is a non-biodegradable synthetic polymer plastic that's primarily derived from crude oil. One polyester garment can shed thousands of microplastic filaments during a single wash cycle, contaminating water systems.",,"Polyester is best washed in a normal cycle with cold or warm water. Use a microplastic filter bag to catch stray fibers in the wash cycle. Polyester is sensitive to high heat, so hang dry to conserve energy and preserve fabric strength.","Polyester is easy to clean and quick-drying, but it's sensitive to high heat. It's best washed in a normal cycle with cold or warm water. Use a microplastic filter bag to catch stray fibers in the wash cycle. Hang dry to conserve energy and preserve fabric strength.","When washed and worn, polyester sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 

","Polyester is a synthetic petroleum-based material derived from plastic. When washed and worn, polyester sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 

Some polyester garments are made from recycled plastic, but this isn't a solution to our plastic crisis. Since polyester is non-biodegradable, recycling plastics into polyester fabric simply changes what pollution looks like. Plastic bottles become microplastic filaments, which still make their way into our water streams. ","https://cfda.com/resources/materials/detail/polyester 

https://www.thelaundress.com/how-to/polyester.html 

https://goodonyou.eco/how-sustainable-is-polyester/ 

https://ecocult.com/exactly-polyester-bad-environment/ 

"
"Polyethylene terephthalate (PET), chemically (methanolysis) recycled, for textiles",Synthetic Plastic Derivative,Polymer Plastic (Post-Consumer or Post-Industrial Waste),Synthetic,Non-Renewable,Recyclable,Not Biodegradable,Microplastic Pollutant,"Recycled polyester uses less nonrenewable resources than virgin polyester and keeps textile waste out of landfills, which supports the circular economy.",,"Recycled polyester is still a non-biodegradable synthetic polymer plastic. One polyester garment can shed thousands of microplastic filaments during a single wash cycle, contaminating water systems.",,"Recycled polyester is best washed in a normal cycle with cold or warm water. Use a microplastic filter bag to catch stray fibers in the wash cycle. Polyester is sensitive to high heat, so hang dry to conserve energy and preserve fabric strength.","Recycled polyester is easy to clean and quick-drying, but it's sensitive to high heat. It's best washed in a normal cycle with cold or warm water. Use a microplastic filter bag to catch stray fibers in the wash cycle. Hang dry to conserve energy and preserve fabric strength.","Recycled polyester garments are made from recycled plastic, but this isn't a solution to our plastic crisis. Since polyester is non-biodegradable, recycling plastics into polyester fabric simply changes what pollution looks like. Plastic bottles become microplastic filaments, which still make their way into our water streams. ","Recycled polyester is a synthetic petroleum-based material derived from plastic. When washed and worn, polyester sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 

Recycled polyester garments are made from recycled plastic, but this isn't a solution to our plastic crisis. Since polyester is non-biodegradable, recycling plastics into polyester fabric simply changes what pollution looks like. Plastic bottles become microplastic filaments, which still make their way into our water streams. ",
Polyethylene (PE) fabric,Synthetic Plastic Derivative,Polymer Plastic,Synthetic,Non-Renewable,Recyclable,Not Biodegradable,Microplastic Pollutant,"Polyethylene is a strong, stain resistant fabric often used for rope, interior textiles, and reusable bags.",,"Polyethylene is a non-biodegradable synthetic plastic polymer derived from non-renewable oil and natural gas. One polyethylene garment can shed thousands of microplastic filaments during a single wash cycle, contaminating water systems.",,Polyethylene garments should be hand washed or spot cleaned with cold water. Hang dry to preserve fabric strength and conserve energy.,,"When washed and worn, polyethylene sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 
","Polyethylene is a synthetic petroleum-based material derived from plastic. When washed and worn, polyethylene sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 

Some polyethylene garments are made from recycled plastic, but this isn't a solution to our plastic crisis. Since polyethylene is non-biodegradable, recycling plastics into polyethylene fabric simply changes what pollution looks like. Plastic bottles become microplastic filaments, which still make their way into our water streams. ",
Polylactic Acid (PLA) fabric,Synthetic Plant Based,Corn Plant,Synthetic,Renewable,Recyclable,Not Biodegradable (Industrial Facilities Only),Microplastic Pollutant,"Polylactic (PLA) has excellent durability and elasticity. It's wrinkle-resistant, moisture-wicking, and performs similarly to polyester.",,"Polylactic is a non-biodegradable synthetic polymer plastic that's primarily derived from corn. One polylactic garment can shed thousands of microplastic filaments during a single wash cycle, contaminating water systems.",,"Polylactic is best washed in a normal cycle with cold or warm water. Use a microplastic filter bag to catch stray fibers in the wash cycle. Polylactic is sensitive to heat, so hang dry to conserve energy and preserve fabric strength.","Polylactic is easy to clean and quick-drying, but it's sensitive to high heat. It's best washed in a normal cycle with cold or warm water. Use a microplastic filter bag to catch stray fibers in the wash cycle. Hang dry to conserve energy and preserve fabric strength.","Polylactic is a synthetic polyester derived from corn instead of fossil fuels, which means it relies on a renewable resource. However, corn-based plastic does not biodegrade, and still contributes to microplastic water pollution when washed. ","Polylactic is a synthetic polyester derived from corn instead of fossil fuels, which means it relies on a renewable resource. However, corn-based plastic does not biodegrade, and still contributes to microplastic water pollution when washed. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 
","https://polymerdatabase.com/Fibers/PLA.html 

https://www.natureworksllc.com/~/media/Technical_Resources/Ingeo_Technical_Bulletins/TechnicalBulletin_BiodegradableSustainableFibers_Chap6_2005_pdf.pdf  "
Polypropylene (PP) fabric,Synthetic Plastic Derivative,Polymer Plastic,Synthetic,Non-Renewable,Recyclable,Not Biodegradable,Microplastic Pollutant,"Polypropylene is a strong, stain resistant fabric often used for athletic and military uniforms and reusable bags.",,"Polypropylene is a non-biodegradable synthetic plastic polymer derived from oil and natural gas production, both of which are non-renewable resources. One polypropylene garment can shed thousands of microplastic filaments during a single wash cycle, further contaminating water systems.",,Polypropelyne garments should be hand washed or spot cleaned with cold water. Hang dry to preserve fabric strength and conserve energy.,,"When washed and worn, polypropylene sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 
","Polypropylene is a synthetic petroleum-based material derived from plastic. When washed and worn, polypropylene sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 

Some polypropylene garments are made from recycled plastic, but this isn't a solution to our plastic crisis. Since polypropylene is non-biodegradable, recycling plastics into polypropylene fabric simply changes what pollution looks like. Plastic bottles become microplastic filaments, which still make their way into our water streams. ",
"Polypropylene (PP), recycled for textile",Synthetic Plastic Derivative,Polymer Plastic (Post-Consumer or Post-Industrial Waste),Synthetic,Non-Renewable,Recyclable,Not Biodegradable,Microplastic Pollutant,"Recycled polypropylene uses less nonrenewable resources than virgin polypropylene and keeps textile waste out of landfills, which supports the circular economy.",,"Recycled polypropylene is still a non-biodegradable synthetic polymer plastic. One polypropylene garment can shed thousands of microplastic filaments during a single wash cycle, contaminating water systems.",,Recycled polypropelyne garments should be hand washed or spot cleaned with cold water. Hang dry to preserve fabric strength and conserve energy.,,"Recycled polypropylene garments are made from recycled plastic, but this isn't a solution to our plastic crisis. Since polypropylene is non-biodegradable, recycling plastics into polypropylene fabric simply changes what pollution looks like. Plastic bottles become microplastic filaments, which still make their way into our water streams. ","Polypropylene is a synthetic petroleum-based material derived from plastic. When washed and worn, polypropylene sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 

Recycled polypropylene garments are made from recycled plastic, but this isn't a solution to our plastic crisis. Since polypropylene is non-biodegradable, recycling plastics into polypropylene fabric simply changes what pollution looks like. Plastic bottles become microplastic filaments, which still make their way into our water streams. ",
Polytrimethylene terephthalate (PTT) fabric,Synthetic Plastic Derivative,Polymer Plastic,Synthetic,Non-Renewable,Recyclable,Not Biodegradable,Microplastic Pollutant,"Polytrimethylene terephthalate (PTT) has excellent durability and elasticity. It's wrinkle-resistant, moisture-wicking, and is softer and more stain-resistant than polyester.",,"PTT is a non-biodegradable synthetic polymer plastic that's primarily derived from crude oil. One PTT garment can shed thousands of microplastic filaments during a single wash cycle, contaminating water systems.",,"PTT is best washed in a normal cycle with cold or warm water. Use a microplastic filter bag to catch stray fibers in the wash cycle. PTT is sensitive to high heat, so hang dry to conserve energy and preserve fabric strength.","PTT is easy to clean and quick-drying, but it's sensitive to high heat. It's best washed in a normal cycle with cold or warm water. Use a microplastic filter bag to catch stray fibers in the wash cycle. Hang dry to conserve energy and preserve fabric strength.","When washed and worn, PTT sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 

","PTT is a synthetic petroleum-based material derived from plastic. When washed and worn, PTT sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 

SomePTT garments are made from recycled plastic, but this isn't a solution to our plastic crisis. Since PTT is non-biodegradable, recycling plastics into polyester fabric simply changes what pollution looks like. Plastic bottles become microplastic filaments, which still make their way into our water streams. ",
Polyurethane (PU) fabric,Synthetic Plastic Derivative,Polymer Plastic,Synthetic,Non-Renewable,Non-Recyclable,Not Biodegradable,Microplastic Pollutant,"Polyurethane is durable, lightweight, and waterproof. It's much stronger than other plastic-based fabrics, and thus has longer usable life.",,Polyurethane is a non-biodegradable synthetic polymer plastic that's primarily derived from crude oil. It's less breathable than other synthetic polymer fabrics.,,"Polyurethane garments must be hand washed or spot cleaned with cold water. Never put polyurethane in the dryer. Hang dry to preserve fabric strength and conserve energy. Polyurethane is used in many forms, so be sure to refer to product tag for specific care instructions. ",,"Polyurethane is often used to produce vegan leather. Although polyurethane (PU) is cruelty free, it's still a synthetic petroleum-based material derived from plastic. ","Polyurethane is often used to produce vegan leather. Although polyurethane (PU) is cruelty free, it's still a synthetic petroleum-based material derived from plastic. When washed and worn, polyurethane sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 

Some polyetherane garments are made from recycled plastic, but this isn't a solution to our plastic crisis. Since polyetherane is non-biodegradable, recycling plastics into polyetherane fabric simply changes what pollution looks like. Plastic bottles become microplastic filaments, which still make their way into our water streams. ",
Silk fabric,Animal Based,Silk Worm,Natural,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Silk is a soft, sleek, luxurious material that's biodegradable and renewable. ","Silk is a soft, sleek, luxurious material that's biodegradable and renewable. Silk is spun from long threads made in the inner cocoon of the silkworm. ","Sericulture, the production of silk from raising silkworms, is a controversial practice where animal welfare is always a concern. Although silk can be extracted without harming the worm through a small hole in their cocoon, silkworms are often boiled and killed to get longer silk threads.",,"Silk is often dry cleaned, but you can gently hand wash your silks at home in cold water. Silk fabric often bleeds, so wash your garment alone and don't be surprised if there's a little color in the water. Hang dry to conserve energy and preserve fabric strength. ",,"Commercial silk production relies on a species of moth called the Bombyx Mori. After hundreds of years of selective breeding, the Bombyx mori, also known as the domestic silkworm, has lost its ability to fly, see, camouflage, and fear predators. ","Commercial silk production relies on a species of moth called the Bombyx Mori. After hundreds of years of selective breeding, the Bombyx mori, also known as the domestic silkworm, has lost its ability to fly, see, camouflage, and fear predators. Bombyx Mori subsist off of mulberry leaves, no longer live in the wild, and are completely dependent on humans for survival. ","https://cfda.com/resources/materials/detail/silk 

https://goodonyou.eco/is-silk-sustainable/

https://www.thelaundress.com/clean-talk-blog/a-smooth-process-for-washing-silk.html 

"
